Reviews,Summary
"Also explores how DNA phenotyping has the potential to reproduce stigmatization and criminalization in the longstanding structures of power and inequality that affect the interaction between law enforcement and racial minorities. Additionally, it explores the privacy concerns of using DNA data - important risks for students to understand",DNA phenotyping has the potential to reproduce stigmatization and criminalization in the longstanding structures of power and inequality that affect the interaction between law enforcement and racial minorities. Also explores the privacy concerns of using DNA data.
"This article researches and unpacks  findings for LGBT+ physical scientists in the workplace, such as discrimination and exclusion, uneven policies, low LGBT+ visibility, international affiliations that are not accepting of the LGBT+ community, lack of a LGBT+ network to tackle isolation and overall discomfort in the workplace. The article reccomends the following to decrease these feelings for  LGBT+ scientists in the workplace:  a) creating a welcoming community by building inclusivity in language used and work activities - any discrimination should be addressed in statements of professional practice and expected behaviour.  b) reviewing and improving policies - policies should reviewed to make LGBT+ scientists able to bring their full selves to work, managers should be trained and implement policies, software should be flexible to individuals who change their name/pronouns, etc. Students should understand the issues LGBT+ members face in the workplace, and steps towards creating a comfortable, inclusive and accepting workplace as they will soon be doing into work.","This article researches and unpacks  findings for LGBT+ physical scientists in the workplace. Discrimination and exclusion, uneven policies, low LGBT+ visibility, international affiliations that are not accepting of the LGBT+ community."
"This article may be of interest to BAME students as they are studying a STEM subject. It looks at different elements of ethnicity and STEM participation, such as  a higher percentage of ethnic minority students go into STEM than non-STEM subject, but that the non-completion rates for ethnic minorities students is higher than for their white counterparts. Their white counterparts also have a higher rate for achieving a first class or upper second class in their degree. This may be interesting for students to understand. This article poses questions such as what factors affect these disparities, and how can they be mitigated. ",This article may be of interest to BAME students as they are studying a STEM subject. A higher percentage of ethnic minority students go into STEM than non-STEM subject. Non-completion rates for ethnic minorities students is higher than for
"Rollock's research explores the adversities black females experience in professorship, such as racial sterotyping, microaggressions, a feeling of needing to prove themselves, hinderances in getting promotions such as being overtaken by their less qualified white counterparts, vague feedback for improvement, delaying apply for promotion due to unsupportive/unencouraging Head of Departments, exclusion from white female colleagues guised as feminists, and adopted strategies to overcome these burdens which becomes tiring and stressful. The interviewed black female professors recommend several strategies to overcome these burdens: self-care to manage stress, electing a supportive work colleague who roots for their success and progression - and to not elected by a relatable ethnicity, but be open to whoever is supportive, 'pick their battles' - choosing strategically what to respond to,  and be flexible with working in different institutions accross the UK in order to progress. Rollock summarises a key strategy: ""creating a work environment where policies and processes are deployed in a fair and transparent manner to enable Black female academics to progress and succeed. Particular attention is paid to increasing awareness of passive bullying and racial microaggressions and implementing initiatives to eliminate these behaviours at each stage of the career trajectory."" Very informative for the expectations black female students looking to go into work should have, and particularly if they would like to go into professorships. It may also implore them to look closer at the kind of equality policies different job prospects they have enforce. ",Research explores the adversities black females experience in professorship. Black female professors recommend several strategies to overcome these burdens.
"Using bibliometric, web surveys and qualitative interview research, this study finds that despite positive signs that productive scientific research in Africa is improving, structural constraints such as continued reliance on international funding, lack of sufficient support and mentoring programs due to brain drain  ( emigration of skilled nationals, results in a depletion of skilled human resource in the countries of origin) in the previous century that the next generation require. The study implores international science funders, national african granting councils, and universities to take note of these findings and design appropriate interventions to address them. Makes students aware of the limiting factors affecting global south science students, and makes them aware of the privileges they have, having access to education in an institution enriched with financial and knowledge-sourcing resources. Additionally, there may be  students who emigrated from africa in the class who this is directly relevant to, as they may have a better picture of why scientists in their home countries struggle to flourish compared to the UK. ","Despite positive signs that productive scientific research in Africa is improving, structural constraints such as continued reliance on international funding, lack of sufficient support and mentoring programs due to brain drain."
"Looking at different crimes, this study finds that on average, Black Americans are seven times more likely than white Americans to be falsely  convicted of serious crimes. This is due to institutional racism and prejudice such has DNA profiling misidentification, black people are stopped and searched more often which means they are more likely to be wrongfully convicted, racist police forces fabricating evidence, and so on. It is very important that forensic science students understand the racism and prejudice that goes on in the criminal justice system, as  they will very likely be working close to such issues. ","On average, Black Americans are seven times more likely than white Americans to be falsely  convicted of serious crimes. This is due to institutional racism and prejudice such has DNA profiling misidentification. It is very important that forensic science students understand"
"Providing this resource links students to BBSTEM, a non-profit organisation that campaigns for balance and representation of black individuals in STEM. Students can become a member and have benefits such as offers and promotions,networking opportunities,  be a mentor on their Bridge Mentoring Programme, early access to events, volunteering opportunities, access to job opportunities, shape and contribute to BBSTEM’s mission, visible representation, involvement producing social studies, reports and data, etc. This is a great way that Robert has shown his commitment to his students progress, and move towards diversity and representativeness.
","Students can join BBSTEM, a non-profit organisation that campaigns for balance and representation of black individuals in STEM. Students can become a member and have benefits such as offers and promotions."
"This resource is a brilliant way to  make known and give accolodes to black pioneers in STEM, which may act as role models to inspire forensic science students, and help them see themselves in this course.",This resource is a brilliant way to  make known and give accolodes to black pioneers in STEM. It may act as role models to inspire forensic science students.
"Interviews with various LGBT+ individuals in STEM jobs, discussing their motivations and challenges. Challenges such as discrimination in interviews, bias in retention, and general unwelcomeness in the field, and how to use this a tool to promote a more welcoming and inclusive workspace. All students may benefit from understanding the challenges LGBT+ individuals may face as they are soon entering the STEM workplace, and it is important that they aware of what they can do to help create a more accepting and inclusive space, e.g. by using inclusive language, supporting initiatives towards equality and inclusion.",Students may benefit from understanding the challenges LGBT+ individuals may face as they are soon entering the STEM workplace. It is important that they aware of what they can do to help create a more accepting and inclusive space.
"oSTEM is a great non-profit resource that identifes, addresses, and advocates for the needs of individuals in LGBT+ community in STEM. They support LGBT+ individuals in a number of ways students can benefit from such as conferences, awards, graduate application assistance, mentorship programs, professional development summits, scholarship programs and virtual career days. Students from the LGBT+ community may benefit from the resources and support provided by this organisation that is tailored to their specific needs. "," oSTEM is a great non-profit resource that identifes, addresses, and advocates for the needs of individuals in LGBT+ community in STEM. They support LGBT+ individuals in a number of ways students can benefit from."
"TIGERS is a group of UK-based STEMM (Science, Technology, Engineering, Maths and Medicine) professionals & students who are passionate about improving equality, diversity, inclusion & accessibility. They work together on campaigns with broad impact &  support one another in their activism within their own disciplines, demographics or institutions. This is a great way for all students to be part of a greater network to build an equal and inclusive space for all in STEM","TIGERS is a group of UK-based STEMM (Science, Technology, Engineering, Maths and Medicine) professionals & students. They are passionate about improving equality, diversity, inclusion & accessibility."
"In2scienceUK empowers young people from disadvantaged backgrounds to achieve their potential through giving nearly 500 students the opportunity to do a STEM placement, working alongside researchers and industry professionals to get hands-on STEM experience over the summer. This gives them insights into STEM careers and research and boosts their skills and confidence.",In2scienceUK empowers young people from disadvantaged backgrounds to achieve their potential. Nearly 500 students have the opportunity to do a STEM placement over the summer.
"This is a platform to that works to improve visibility of the LGBTQ+ STEM community worldwide. They provide opportunities for LGBTQ+ people to showcase their research to the wider fields of STEM so that LGBTQ+ people can see themselves reflected in the STEM community and be inspired to pursue careers in these areas, without fear of being different, and knowing that they belong.   ",This is a platform to that works to improve visibility of the LGBTQ+ STEM community worldwide. They provide opportunities for LGBTQ+ people to showcase their research to the wider fields of STEM.
"Hart and Slack discuss their experiences in the forensics field as forensic scientists of color, and how bias and under-representation can produce flawed forensic findings. After discussing their experiences in education and employment in the forensics field, they discuss how diversity and inclusion regarding gender, ethnicity, and race have impacted their occupational experiences and insights. One insight expressed is that although science is being objective and neutral in its methods and findings, there are certain areas of science where biases may exist, particularly regarding the physical characteristics of people. The forensic scientist’s perspectives and decisions, although influenced by scientific principles learned through education and experimentation, inevitably will be influenced by her/his personal background, distinctive knowledge, and socioeconomic experiences. Maximizing diversity in physical features and socioeconomic experiences in forensic scientists expands, balances, and restrains inevitable subjectivities in scientific decisions. It is important that students understand that different demongrpahics: race, gender, ethnicity, etc influence scientific inquiry. To avoid bias in forensic science inquiry and findings, it is imperative that diversity is well integrated within the discipline.","Hart and Slack discuss their experiences in the forensics field as forensic scientists of color. They discuss how bias and under-representation can produce flawed forensic findings. Maximizing diversity in physical features and socioeconomic experiences in forensic scientists expands, balances"
"Discusses bias and bad practices in research such as unconcious bias towards certain topics, such as bias in research towards Africa, convenient sampling that excludes certain demographics. Reccomends research should have a framework of guidelines that help good practices of diveristy and inclusion withi research. Stresses that students should understand the limitations of scientific research in achieving unbias and representative findings"," Discusses bias and bad practices in research such as unconcious bias towards certain topics, such as bias in research towards Africa. Reccomends research should have a framework of guidelines that help good practices of diveristy and inclusion with"
"Discusses that there is some kind of objectivity and rationale in science, but that there also needs to a middle-ground between 'science skepticism' and 'science worship' where scientists are critical of scientific notions for the betterment of science as a discipline. Again, making students aware that they should be accepting, but also critical of the idea that scientific knowledge is objective.",There needs to be a middle-ground between 'science skepticism' and 'science worship' Discusses that there is some kind of objectivity and rationale in science.
"A great resource in discussion with three female professors who advocate for diversity and equality, and representation of black women in academia along with Liv Little, a media company 'gal-dem' founder who discuss the issues black females face in education and the workplace. This resource is extremely valuable for black female students to have role models they identify with, but also to relate and inform them of the advertisties and strategies to overcome racial injustices they have/may experience going forward as students, and in the work world.","A great resource in discussion with three female professors who advocate for diversity and equality. Liv Little, a media company 'gal-dem' founder who discuss the issues black females face in education and the workplace."
"Talk on critically appraising research (in clinical practices). Can be valuable to understand in scientific teaching. Being critical of the racism that creeps into research material such as racial bias and underrepresentation. Naicker disuccses the importance of inclusivity and representation of minorities in research, such ensuring results are generalisable, shared decision making, and making research findings - particularly in sciences accessible and applicable to all - e.g. ensuring health condition findings are helpful to the health of ethnic minorities who may suffer these conditions. She suggests several checklists for creating representation in research e.g.: are minority researchers working on the study? are minorities included as participants of the study to be representative of the wider population? is the data on race and ethnicity accurate? is race used correctly in the research - e.g. NOT as a proxy for genetic ancestry? Being thoughtful and critical of how ethnicity and race is accounted for and embedded in scientific research is extremely important for students to understand, so that scientific research and findings are representative. ",Naicker disuccses the importance of inclusivity and representation of minorities in research. She suggests several checklists for creating representation in research e.g.: are minority researchers working on the study? are minorities included as participants of the
"Cebula presents how networking is essential tool for women overcome gender barriers, to strengthen emotional dynamics, but also in a professional capacity, such as overcoming imposter syndrome for the partiachal nature of working, like using networking to empower women as researchers, for example using the fact that some researchers are mothers as a valuable tool for research to offer insight that might have otherwise been ignored. Also this will broaden the cohort for researchers that extend to women, and provide them opportunity for collaboration and allow them the confidence and access to network with senior colleagues. This is an important tool for female students to use, as networking gives them the capacity to create a space, support and opportuntity to thrive in the work place that is currently dominated by men. Understanding how networking can decontruct this patriachal dynamic will create a more equal and opportunistic enviroment for women.","Cebula presents how networking is essential tool for women to overcome gender barriers. This is an important tool for female students to use, says Cebula."
"Discuss how unconscious bias can be harmful, as it draws from personal experience, cultural environment and background to make instantaneous assumptions about our surroundings. This is because our mind uses instinct, not analysis. We judge people based on gender, and other social factors, and make snap judgements about whether people are like us: our 'ingroup' who we favour, or the less favourable 'outgroup'. This can cause disortion in scientific inquiry, so the Royal Society says it is imperative that we slow down and critically question decisions and question cultural stereotypes to tackle unconscious bias - 'we cant sure it, but we can address it'. Students need to understand the limiting psychological factors that affect scientific research and findings, so that research and science can be as unprejudice as possible. Making students slow down and question the research decisions, background, personal and cultural factors that the material they source, or themselves produce have will help them address unconscious bias, and will create more inclusive and unbias scientific inquiry.","Students need to understand the limiting psychological factors that affect scientific research and findings. Discuss how unconscious bias can be harmful, as it draws from personal experience, cultural environment and background to make instantaneous assumptions."
"Bonnie Greer OBE, Chancellor of Kingston University is a distinguished writer and broadcaster is a great role model for female black students. In the conference, she discusses how to create an inclusive space in STEM to maximise innovation, creativity, and career progression, and how diversity creates democracy. As a great role model, she  discusses at length how diveristy within STEM can enrich and expand the STEM disciplines.","Bonnie Greer OBE, Chancellor of Kingston University is a distinguished writer and broadcaster. She is a great role model for female black students. In the conference, she discusses how to create an inclusive space in STEM to maximise innovation"
"Wade is a renoun female, British physicist who  is also a 'Wikipedian', who created and uploaded biographies of women, people of colour, and individuals from the LGBT+ communities to increase diversity within the scientific community. She says the only way to create more diversity in science is for people in positions of power to lend their active support. She addresses the need to help young girls to see past social stereotypes, and names some of the women in science who inspire her personally. Wade herself, along with her Wikipedia publications set a great example for females, and other minority demographics to have role models, and be inspired by creating more diveristy on platforms  that are widely accessed by students. ","Wade is a renoun female, British physicist who is also a 'Wikipedian' She created and uploaded biographies of women, people of colour, and individuals from the LGBT+ communities to increase diversity within the scientific community."
"Wade discusses the lack of women and people of colour in educational cirriculums, i.e., there is not a single woman's name referenced in GCSE national science cirriculum (2020). She works towards creating more Wikipedia pages for minority groups, and the great outreach this has - we all use wikipedia! This improves diveristy and inclusion in education and general knowledge. Diverisfying wikipedia is a great way to diversify knowledge and learning, which is used and trusted by most. She encourages us to contribute to this movement and be more critical and of the knowledge we are taught. ",Wade works towards creating more Wikipedia pages for minority groups. She encourages us to contribute to this movement and be more critical and of the knowledge we are taught.
Links to Sarah Field as the library resource where students can contribute to diversifying their learning and how they are taught. This gives students a say in their learning and a chance to contribute to diversifying and expanding inclusion in their module.,Sarah Field is a library resource where students can contribute to diversifying their learning and how they are taught. This gives students a say in their learning.
"Queirós discusses the ethical issues of forensic DNA phenotyping ( a technique to predict physical features of criminal suspects, such as eye, skin and hair colour, and also ethnicity through the inference of biogeographic ancestry from biological samples), as its collectivisation processes increases the visibility of ‘phenotypically others' which has the potential to exacerbate the stigmatisation of already racialised and disadvantaged groups. Students need to understand the risks of using forensic DNA phenotyping which can perpetuate the pre-existing racial typifications",Forensic DNA phenotyping can exacerbate the stigmatisation of already racialised and disadvantaged groups. Students need to understand the risks of using forensic DNA Phenotyping.
"Saddleton discusses how the UK commission is set to investigate the misapplication of forensic science which has often resulted in wrongful convictions, only in 2021 was Forensic Science Regulator given statutory footing and the The Forensic Science Regulator Act 2021  as a code of conduct for avoiding this issue. Makes students  aware of the implications bad practices forensic science can have in wrongful convicitions in the UK. As potential future forensic science, they stand at the forefront of tackling these issues and making a change to make convictions more accurate.","The UK commission is set to investigate the misapplication of forensic science which has often resulted in wrongful convictions. The Forensic Science Regulator Act 2021 is a code of conduct for avoiding this issue. As potential future forensic science, they stand at"
"Henrietta Lacks is a black, African-American woman who was treated for cancer in America during racial segregation in 195. She never consented to her tissue being extracted, distributed worldwide and sold for research purposes by Dr George Gey. From this, he discovered the first ever immortal cell line. Her cells helped  research to develop  the polio vaccine, the behaviour of salmonella, HPV as a cause for cancer, study of HIV, study of TB. This article credits her contribution to scientific knowledge, though she never got to witness this. This article credits the work of a black, African American woman to modern science, but also raises issues around ethical boundaries and consent of historical findings - Here we learn about the prejudicial history of modern day science. It is important that students can have open conversations and understand this discrimatory history","Henrietta Lacks is a black, African-American woman who was treated for cancer in America during racial segregation in 195. She never consented to her tissue being extracted, distributed worldwide and sold for research purposes by Dr George Ge"
"It may be very valuable for students to understand the prejudicial shortcomings of Galton, as a means to decolonise their learning in the same way UCL students have advocated to do.  Providing this paper of Galton's shortcomings as an academic under sections where his work is discussed on this module, such as under Week 9 on Fingerprints may help achieve decolonising their learning. This will not discredit his work in fingermark directories, but it does work to make apparent the prejudicial nature of eurocentric history on race, sexuality and disability: an important step towards in decolonising their learning. ","It may be very valuable for students to understand the prejudicial shortcomings of Galton, as a means to decolonise their learning. This will not discredit his work in fingermark directories, but it does work to make apparent the prejud"
"There are great 'tips' for creating an inclusive space for LGBT+ students in this article, such as creating a support network for such individuals. It may be an idea to encourage students to join LGBTQ+ communities at the university, such as LGBT+ societies where they can find a community who they identify with, and  can support their learning. ",There are great 'tips' for creating an inclusive space for LGBT+ students in this article. It may be an idea to encourage students to join LGBTQ+ communities at the university.
"As Gowers puts it ""encouraging science students and academics to confront and discuss race in the context of their subjects might increase engagement and a sense of belonging for students of colour. But it’s also important for white students. All students need to understand the historical context for what they learn – a critical first step in ensuring history does not repeat itself."". A holistic reccomendation here it to note the racial contexts when discussing historical findings and figures to increase a sense of belonging, and ensure that eurocentric history does not override any other narrartive from this point forwards. For example, when discussing Francis Galton and Fingerprints, make it apparent that this ideas on eugenics where has serious and harmful effects on theories of race, disability, and sexuality.",All students need to understand the historical context for what they learn. A holistic reccomendation here it to note the racial contexts when discussing historical findings and figures.
"As this resource reccomends, include more diversity in the images, examples and diagrams in the module - simply replacing some images in your slides for others could make all the difference to students.",". Include more diversity in the images, examples and diagrams in the module. Simply replacing some images in your slides for others could make all the difference to students."
"Include this resource under the lectures on DNA, which can help all students understand the importance of indicators for race and ethnicity when conducting scientific research, and the problems that may arise if these are incorrectly defined, such as overlooking certain groups of individuals",This resource can help students understand the importance of indicators for race and ethnicity when conducting scientific research. Include this resource under the lectures on DNA.
It is important to open up conversations about race and racism in students learning to increase belonging and engagement (See Excel cell i18). Include this resource as a 'must' or 'optional' read under the week on DNA. This resource is also included twice on the Padlet. Delete one,It is important to open up conversations about race and racism. Include this resource as a 'must' or 'optional' read under the week on DNA.
It is important to open up conversations about race and racism in students learning to increase belonging and engagement  (See Excel cell i18). Include this resource as a 'must' or 'optional' read under the week on DNA. ,It is important to open up conversations about race and racism in students learning to increase belonging and engagement. Include this resource as a 'must' or 'optional' read under the week on DNA.
It is important to open up conversations about race and racism in students learning to increase belonging and engagement  (See Excel cell i18). Include this resource as a 'must' or 'optional' read under the week on DNA. ,It is important to open up conversations about race and racism in students learning to increase belonging and engagement. Include this resource as a 'must' or 'optional' read under the week on DNA.
It is important to open up conversations about race and racism in students learning to increase belonging and engagement  (See Excel cell i18). Include this resource as a 'must' or 'optional' read under the week on DNA. ,It is important to open up conversations about race and racism in students learning to increase belonging and engagement. Include this resource as a 'must' or 'optional' read under the week on DNA.
"As per the reccomendation made in J13,  again the reccomendation based on this resource is to potentially promote LGBT+ societies alongside the slides that already exist which promote the forensic science society so students have a network of support alongside their studies","This resource could potentially promote LGBT+ societies alongside the slides that already exist which promote the forensic science society. As per the reccomendation made in J13,  again this resource could be used for this purpose."
"Increase the visibility of this article on the Moodle page, but it might also be an idea to find an article that discusses the actual factors affecting the gap in attainment and non-completion rates, so that BAME students understand the factors that could negatively affect their ability to do well in education compared to white students.",Increase the visibility of this article on the Moodle page. Find an article that discusses the actual factors affecting the gap in attainment and non-completion rates.
"Promote BBSTEM more - perhaps alongside the slides that already exist which promote the forensic science society, or have a more visible folder on the Moodle page of a list of organisations that can support students, as it is a great way for student to take action towards diveristy and inclusion, and their own progress.",Promote BBSTEM more - perhaps alongside the slides that already exist. Or have a more visible folder on the Moodle page.
"It would be great to see more role models from minority groups mentioned beyond the diverse reading list, perhaps referenced in slides as many of the white male figures are referenced. Even a small section for recognition for these black pioneers could help students identify with the material. Additionally, Donald Palmer as a black pioneer has a society called Reach Society to encourage young black boys and men to see their potential - this could be added to the 'networks' section on the padlet reading list. ",It would be great to see more role models from minority groups mentioned. Even a small section for recognition for these black pioneers could help students identify with the material. Donald Palmer as a black pioneer has a society called Reach Society.
"Mention oSTEM on the slides or Moodle page as a great community for LGBT+ students to receive support, and network [See Excel cell J13]",Mention oSTEM on the slides or Moodle page as a great community for LGBT+ students to receive support.
"Students can sign up as a member of TIGERSTEMM and receive their mailing list of blog posts, conferences and any activities related to their work towards improving accessibility and EDI in STEM - a great and proactive way  for students to engage with building an inclusive space for the future of STEM. Promote TIGERSTEMM on Moodle/in lecture slides like the forensic science society is promoted","Students can sign up as a member of TIGERSTEMM and receive their mailing list of blog posts, conferences and any activities related to their work towards improving accessibility and EDI in STEM."
Promote this resource on Moodle/lecture slides as it  gives students from disadvantaged backgrounds the opportunity to apply for a life-changing placement which gives them experience and exposure to the STEM world. ,This resource gives students from disadvantaged backgrounds the opportunity to apply for a life-changing placement. Promote this resource on Moodle/lecture slides as it gives students experience and exposure to the STEM world.
"This is a great way for students to engage with a resource that aims to increase LGBT+ visibility in STEM, and act as a 'role-modelling' tool for students who need to be inspired by individuals they can identify and relate to. Promote it on Moodle/lecture slides",This is a great way for students to engage with a resource that aims to increase LGBT+ visibility in STEM. Promote it on Moodle/lecture slides.
"When directed to this resource from the Padlet, the page cannot be found - update to the correct link if it still exists. Also this resource is included twice on the Padlet to perhaps delete one.","When directed to this resource from the Padlet, the page cannot be found - update to the correct link if it still exists. Also this resource is included twice on thePadlet to perhaps delete one."
It is important to open up conversations about race and racism in students learning to increase belonging and engagement (See Excel cell i18). Include this resource as a 'must' or 'optional' read under the week on DNA. , Include this resource as a 'must' or 'optional' read under the week on DNA. It is important to open up conversations about race and racism in students learning.
"When Francis Galton is mentioned, this resource could be included under the taught material i.e, under Week 9 on Fingerprints","When Francis Galton is mentioned, this resource could be included under the taught material i.e, under Week 9 on Fingerprints."
"Potentially promote LGBT+ societies. Perhaps  alongside the slides that already exist which promote the forensic science society, or have a more visible folder/resource on the Moodle page of a list of organisations that can support students. ","Potentially promote LGBT+ societies. Perhaps  alongside the slides that already exist which promote the forensic science society, or have a more visible folder/resource on the Moodle page."
"Look out for opportunities for students to engage in conversations about race to create a sense of belonging and increase engagement - i.e, Francis Galton and eugenics",Look out for opportunities for students to engage in conversations about race to create a sense of belonging and increase engagement.
"Include/replace images of a diverse range of individuals on lecture slides  - i.e, images of black, female forensic scientists"," Include/replace images of a diverse range of individuals on lecture slides. i.e, images of black, female forensic scientists."
Include this reading under the week on DNA,This week on DNA. Include this reading under the week onDNA section.
Find an article that explores the factors affecting academic disparities,Find an article that explores the factors affecting academic disparities in the U.S.
Promote this organisation on lecture slides/Moodle,Promote this organisation on lecture slides/Moodle.
"Include more diverse figures on lecture slides, and promote the Reach Society organisation on Moodle/on the lecture slides like the forensic science society is promoted"," Include more diverse figures on lecture slides, and promote the Reach Society organisation on Moodle."
Promote oSTEM on Moodle or lecture slides much like the forensic science society is promoted,Promote oSTEM on Moodle or lecture slides much like the forensic science society is promoted.
Promote TIGERSTEMM on lecture slides or Moodle/lecture slides,Promote TIGERSTEMM on lecture slides or Moodle/lecture slides.
Promote In2Stem on Moodle/Lecture slides,Promote In2Stem on Moodle/Lecture slides. Promote
Promote/display this resource on the Moodle page or lecture slides,Use this resource to help students with reading comprehension and vocabulary. Use the weekly Newsquiz to test your knowledge of stories you saw on CNN.com
"Delete the duplicated link to this resource, and update the correct link if it still exists"," Delete the duplicated link to this resource, and update the correct link if it still exists."
Could include this reading under the week on DNA. ,This week on DNA. Could include this reading under the week onDNA.
"The editor, Professor Peter C. White, has a broad background and wide experience in forensic science, teaching, research and practice. Having worked with the Metropolitan Police Forensic Science Laboratory in London and the Forensic Science Unit at the University of Strathclyde/UK, he was appointed director of the unit but left in 2003 to become a professor of Science at the University of Lincoln/UK. In 2006, he was appointed a Fellow of the Forensic Science Society. Description from Buschmann 2012 review in Royal Society of Chemistry Publishing ",Professor Peter C. White has worked with the Metropolitan Police Forensic Science Laboratory in London and the Forensic Science Unit at the University of Strathclyde/UK. He was appointed director of the unit but left in 2003 to become a
A great female role model with a well-established career in Forensic Science academia presented in the key readings. See 'additional notes' a summary of her track-record. Click this text for her biography,A great female role model with a well-established career in Forensic Science academia. See 'additional notes' a summary of her track-record.
"Dr Andrew Jackson is a Senior Lecturer in Forensic Science at Staffordshire University, UK. Dr Julie Jackson is a freelance science writer, with a background in biology. Dr Harry Mountain, guest author of the chapter on DNA profiling, is a Senior Lecturer in Molecular Biology at Staffordshire University, UK, with a special interest in forensic genetics. ","Dr Andrew Jackson is a Senior Lecturer in Forensic Science at Staffordshire University, UK. Dr Julie Jackson, a freelance science writer, has a background in biology. Dr Harry Mountain, a senior lecturer in Molecular Biology, is a guest"
The video on hair evidence has examples and explanations of all ethnic minority hair types which creates an inclusive environment for learning,The video on hair evidence has examples and explanations of all ethnic minority hair types which creates an inclusive environment for learning.
"Ashraf Mozayani is a  female and global south author presented in the readings with decades of international experience. She is currently the Executive Director of Forensic Sciences Learning Lab and a Professor at Texas Southern University. She is also a board-certified fellow from American Board of Forensic Toxicologist, Board of Directors of Society of Forensic Toxicologists and Board of Directors of American Society of Crime Lab Directors. She previously served as the President of Southwestern Association of Toxicologist as well as an active member of Forensic Research Committee, where she was the recipient of Harger Toxicology Award from American Academy of Forensic Science in 2019. Mozayani also has publications on forensic science in the context of sexual crimes which may be presented in the readings for Week 14 on Sexual Violence as  statistically, women are more often the victims of this type of crime, so having female narrative on this topic may ease the discussion of sexual offences for female students. Mozayani is also an international figure whose presence in the key readings may be inspiring to international students, particularly from the Global South. Both Ashraf Mozayani and Carla Noziglia are well-established female co-authors whose publication could be considered in the key reading list to inspire female students",Ashraf Mozayani is a  female and global south author presented in the readings. She is currently the Executive Director of Forensic Sciences Learning Lab and a Professor at Texas Southern University. She also has publications on forensic science in the context
An engaging video on laboraratory processes for forensic science,An engaging video on laboraratory processes for forensic science.
Well-renoun retired police Lieutenant with decades experience,Well-renoun retired police Lieutenant with decades experience with decades of experience.
Great example of how forensic science can tackle the racial injustices prevalent in the American CJS,Forensic science can tackle the racial injustices prevalent in the American CJS.
Use of warning that the case discussed may be upsetting,Use of warning that the case discussed may be upsetting.
A black female storytelling a case of a racially motivated murder which may be engaging for black students and female black students on the topic of racial discrimination in policing practices,A black female storytelling a case of a racially motivated murder may be engaging for black students and female black students.
"Great example of how forensic science can tackle  racial hate crimes , may inspire BAME students","Forensic science can tackle  racial hate crimes, says forensic scientist. Great example of how forensic science can tackling racial hate crime."
Non-British/American publication and authors may make international students feel more represented,Non-British/American publication and authors may make international students feel more represented.
"A resource on microcopy  taught  by an asian author which may make students of asian ethnicities identify with the course material, and feel more represented in the course content",A resource on microcopy taught by an asian author which may make students of asian ethnicities identify with the material.
"The definitions relating to race and ethnicity are described scientifically, yet are sensitive to the nuances that scientific explanations can sometimes ignore. For example, dispelling the idea that members of an ethnic group are always genetically or culturally similar ","The definitions relating to race and ethnicity are described scientifically, yet are sensitive to the nuances that scientific explanations can sometimes ignore. For example, dispelling the idea that members of an ethnic group are always genetically or culturally similar."
A resource that signposts to different articles on Genetics. Use of examples and images od different ethnicities which is great for all students to feel included,A resource that signposts to different articles on Genetics. Use of examples and images od different ethnicities. Great for all students to feel included.
The video on the wepage has a warning that the content may be sensitive to students,The video on the wepage has a warning that the content may be sensitive to students.
Use of a trigger warning for potentially upsetting material,Use of a trigger warning for potentially upsetting material.
"Vedantu is a online-learning platform based in India, great for learning from global south authors",Vedantu is an online-learning platform based in India. It is great for learning from global south authors.
Indian author and publisher may inspire south asian students as a role model and a means of seeing themselves in the course content and industry,Indian author and publisher may inspire south asian students as a role model and a means of seeing themselves in the course content.
Wepage resource from the global south which may increase engagement from south asian students who may identify with the material,South asian students may identify with the material. Wepage resource from the global south.
Use of a warning that there is not senstive content in the video ,There is a warning that there is not senstive content in the video. Use of the video to help people with reading comprehension and vocabulary.
Global south authors published in a well known journal by good publisher (IEE),Global south authors published in a well known journal by good publisher (IEE)
The images in the header of this presentation include diverse individuals,The images in the header of this presentation include diverse individuals.
"The presence of a well-established asian author as well as a female author makes this book great for diversifying the material on the reading list by representing minority students, helping them see themselves in the forensic science industry","The presence of a well-established asian author as well as a female author makes this book great for diversifying the material on the reading list. This book represents minority students, helping them see themselves in the forensic science industry."
Representation of South Asian authors may help students of this ethnicity feel included in the course content. The italian authors may also  inspire international students,South Asian authors may help students feel included in the course content. The italian authors may also inspire international students.
Provides history of of fingerprints for identification,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Visit CNN.com/Travel each
Interesting take on the potential privacy concerns of facial recognition,Facial recognition is a new technology that uses facial recognition to identify people. The technology has raised privacy concerns in the past.
"On this slide is Juan Vucetich, a Agentinian police officer and first fingerprint classifier - a great way to incorporate Latin American founders, which are rarely explored in academia","Latin American founders are rarely explored in academia. On this slide is Juan Vucetich, a Agentinian police officer and first fingerprint classifier."
"AIS Glass is an Indian glass manufacturer company, so there is a great presence of Global South knowledge being taught on this topic of how glass is made",AIS Glass is an Indian glass manufacturer company. There is a great presence of Global South knowledge being taught on this topic.
"Global south resource (India). Also explores the Global south history of glass, including its origins in Mesopotamia (modern day Iraq), China and Egypt. This deconstructs western ideas of history and credits that of Asian and African antiquity","This book deconstructs western ideas of history and credits that of Asian and African antiquity. Also explores the Global south history of glass, including its origins in Mesopotamia, China and Egypt."
